Geneid	HISAT2 on data 4 and data 3: aligned reads (BAM)
DDX11L1	1
WASH7P	1073
FAM138F	0
FAM138A	0
OR4F5	0
LOC729737	295
LOC100132287	0
LOC100132062	0
LOC100133331	693
OR4F16	0
OR4F29	0
OR4F3	0
LOC100288069	299
LINC00115	484
LOC643837	2381
FAM41C	10
LOC100130417	44
SAMD11	10
NOC2L	7683
KLHL17	2594
PLEKHN1	32
C1orf170	6
HES4	753
ISG15	114
AGRN	22035
RNF223	3
C1orf159	1174
LOC254099	14
MIR200B	0
MIR200A	0
MIR429	0
TTLL10	0
TNFRSF18	6
TNFRSF4	16
SDF4	5631
B3GALT6	3147
FAM132A	29
UBE2J2	3470
SCNN1D	1672
ACAP3	22370
PUSL1	397
CPSF3L	8590
GLTPD1	2023
TAS1R3	205
DVL1	7356
MXRA8	1919
AURKAIP1	1893
CCNL2	19617
LOC148413	1855
MRPL20	2148
ANKRD65	80
TMEM88B	51
VWA1	975
ATAD3C	46
ATAD3B	1573
ATAD3A	1560
TMEM240	1192
SSU72	4601
C1orf233	435
MIB2	4635
MMP23B	0
MMP23A	6
CDK11B	2834
SLC35E2B	21355
CDK11A	1057
SLC35E2	8517
NADK	3565
GNB1	88011
CALML6	14
TMEM52	77
KIAA1751	19
GABRD	126
PRKCZ	5886
C1orf86	1326
SKI	13057
MORN1	702
LOC100129534	282
RER1	5544
PEX10	930
PLCH2	2728
PANK4	2922
HES5	642
LOC115110	13
LOC100133445	20
TNFRSF14	143
FAM213B	3134
MMEL1	245
TTC34	14
ACTRT2	0
FLJ42875	2151
PRDM16	5164
MIR4251	0
ARHGEF16	40
MEGF6	3514
MIR551A	0
TPRG1L	2738
WRAP73	1561
TP73	166
TP73-AS1	7534
CCDC27	23
LOC388588	31
LRRC47	6640
CEP104	5873
DFFB	1612
C1orf174	1827
LOC100133612	4
LOC728716	0
LOC284661	2
AJAP1	1315
MIR4417	1
MIR4689	1
NPHP4	1993
KCNAB2	1789
CHD5	13355
RPL22	60562
RNF207	918
ICMT	3233
HES3	0
GPR153	7479
ACOT7	8066
HES2	4
ESPN	50
MIR4252	0
TNFRSF25	3585
PLEKHG5	11003
NOL9	5377
TAS1R1	2
ZBTB48	2124
KLHL21	1735
PHF13	3977
THAP3	1646
DNAJC11	4141
CAMTA1	12621
VAMP3	3149
PER3	1553
UTS2	5
TNFRSF9	5
PARK7	12184
ERRFI1	2585
SLC45A1	1267
RERE	30726
ENO1	28053
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	81
GPR157	0
MIR34A	0
H6PD	4704
SPSB1	384
SLC25A33	606
TMEM201	2149
PIK3CD	3617
C1orf200	0
CLSTN1	33395
CTNNBIP1	5692
LZIC	4091
NMNAT1	757
RBP7	12
UBE4B	10246
KIF1B	101178
PGD	19526
APITD1-CORT	0
APITD1	190
CORT	224
DFFA	3339
PEX14	1619
CASZ1	164
C1orf127	0
TARDBP	25903
MASP2	926
SRM	12213
EXOSC10	10170
MTOR	11391
ANGPTL7	12
UBIAD1	2547
PTCHD2	16834
FBXO2	337
FBXO44	7362
FBXO6	637
MAD2L2	3085
C1orf187	10715
AGTRAP	205
MTHFR	4931
CLCN6	8268
NPPA-AS1	24
NPPA	33
NPPB	0
KIAA2013	2502
PLOD1	3176
MFN2	12856
MIIP	3107
TNFRSF8	0
TNFRSF1B	379
MIR4632	0
VPS13D	14352
SNORA59B	0
SNORA59A	0
DHRS3	339
AADACL4	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
PRAMEF11	0
LOC649330	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF8	0
PRAMEF7	0
PRAMEF6	0
PRAMEF22	0
PRAMEF5	0
LOC440563	0
PRAMEF3	0
PRAMEF15	0
PRAMEF9	0
