GENEID	R3452	R3462	R3485	R2869	R3098	R3467
DDX11L1	5	1	0	2	0	0
WASH7P	1939	1073	1423	926	282	539
FAM138F	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
LOC729737	21	295	56	132	4	190
LOC100132287	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0
LOC100133331	479	693	309	145	19	138
OR4F16	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0
LOC100288069	149	299	175	20	4	54
LINC00115	278	484	235	98	12	56
LOC643837	2039	2381	3020	343	111	893
FAM41C	23	10	14	15	4	9
LOC100130417	66	44	160	12	13	3
SAMD11	12	10	12	59	17	7
NOC2L	7330	7683	7256	3630	564	3532
KLHL17	2362	2594	1728	633	175	568
PLEKHN1	19	32	37	10	4	2
C1orf170	14	6	59	30	12	10
HES4	1054	753	708	492	375	394
ISG15	87	114	190	340	556	385
AGRN	23453	22035	19909	9935	3895	8990
RNF223	0	3	0	0	0	1
C1orf159	1434	1174	1037	778	293	465
LOC254099	10	14	16	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
TTLL10	0	0	2	0	2	4
TNFRSF18	0	6	0	71	42	58
TNFRSF4	11	16	11	18	10	40
SDF4	5673	5631	4672	4676	1303	3495
B3GALT6	3506	3147	4221	1485	348	1369
FAM132A	15	29	12	32	5	20
UBE2J2	3223	3470	3279	2033	699	1541
SCNN1D	1464	1672	1000	1542	379	930
ACAP3	19039	22370	17885	14155	3172	11160
PUSL1	422	397	416	291	119	260
CPSF3L	8804	8590	6206	4267	1150	2869
GLTPD1	2183	2023	1949	1611	454	1169
TAS1R3	436	205	225	46	10	13
DVL1	8080	7356	6967	8757	2564	7029
MXRA8	1512	1919	725	639	742	1144
AURKAIP1	1953	1893	1686	2630	1330	2024
CCNL2	18544	19617	13072	5328	1675	3681
LOC148413	1534	1855	1644	906	333	659
MRPL20	1922	2148	2508	2634	952	1725
ANKRD65	96	80	116	1094	340	775
TMEM88B	44	51	51	760	22	302
VWA1	995	975	736	4909	929	1563
ATAD3C	99	46	95	121	23	95
ATAD3B	1512	1573	911	702	159	538
ATAD3A	1638	1560	1462	1090	253	791
TMEM240	1434	1192	1580	904	199	756
SSU72	4257	4601	5792	6559	1432	4928
C1orf233	224	435	810	1203	515	901
MIB2	6225	4635	3667	4814	896	3713
MMP23B	1	0	2	4	0	0
MMP23A	3	6	15	4	0	3
CDK11B	3026	2834	2289	1798	444	1252
SLC35E2B	18592	21355	26175	3575	746	4613
CDK11A	1000	1057	618	392	151	254
SLC35E2	9636	8517	8620	2071	372	2661
NADK	3131	3565	3239	1532	531	1552
GNB1	77289	88011	116053	45282	9809	51450
CALML6	18	14	17	40	19	41
TMEM52	120	77	149	28	18	23
KIAA1751	4	19	75	245	13	406
GABRD	174	126	138	6814	1013	7346
PRKCZ	6719	5886	8942	8572	748	9798
C1orf86	1300	1326	1376	524	386	320
SKI	14619	13057	17905	5011	1516	5735
MORN1	550	702	377	270	88	369
LOC100129534	215	282	175	129	37	139
RER1	4745	5544	5266	4033	1112	2941
PEX10	1046	930	693	1078	459	798
PLCH2	2101	2728	2045	3086	1042	4328
PANK4	2955	2922	2547	1564	317	1713
HES5	402	642	157	162	238	74
LOC115110	4	13	7	24	16	28
LOC100133445	8	20	7	19	0	39
TNFRSF14	117	143	108	518	324	565
FAM213B	2337	3134	4204	3716	862	2989
MMEL1	251	245	309	8	4	7
TTC34	8	14	25	14	7	13
ACTRT2	0	0	0	0	0	0
FLJ42875	1170	2151	139	1339	1488	423
PRDM16	3407	5164	716	1058	653	372
MIR4251	0	0	0	0	0	0
ARHGEF16	50	40	19	183	38	61
MEGF6	3615	3514	2183	407	103	468
MIR551A	0	0	0	0	0	0
TPRG1L	1931	2738	3585	11442	1611	10431
WRAP73	1353	1561	907	668	202	525
TP73	77	166	187	58	17	22
TP73-AS1	6709	7534	4350	1878	541	1331
CCDC27	14	23	5	10	4	11
LOC388588	8	31	5	20	6	4
LRRC47	6244	6640	6914	3700	693	3751
CEP104	4540	5873	5174	2378	698	2033
DFFB	1284	1612	1477	485	127	389
C1orf174	2043	1827	1650	802	159	639
LOC100133612	2	4	1	2	0	5
LOC728716	0	0	0	8	0	12
LOC284661	0	2	0	0	0	1
AJAP1	508	1315	1796	753	70	1237
MIR4417	0	1	1	0	0	1
MIR4689	0	1	1	2	0	0
NPHP4	1993	1993	2052	1119	206	1063
KCNAB2	2327	1789	2573	29821	3740	31250
CHD5	12581	13355	20386	18999	2975	26624
RPL22	57852	60562	59987	9368	4756	6959
RNF207	1094	918	1224	920	200	542
ICMT	2689	3233	2891	3575	1018	4019
HES3	0	0	0	0	0	0
GPR153	7213	7479	10843	981	339	1002
ACOT7	7290	8066	12621	9527	687	9104
HES2	6	4	2	0	0	0
ESPN	25	50	19	21	27	22
MIR4252	0	0	0	0	0	0
TNFRSF25	2537	3585	2639	1450	645	1300
PLEKHG5	8073	11003	8974	4695	624	6248
NOL9	5850	5377	5743	1607	403	1630
TAS1R1	3	2	5	4	10	4
ZBTB48	1669	2124	1532	765	303	600
KLHL21	1604	1735	1310	3598	1090	2881
PHF13	2877	3977	3963	1187	328	1043
THAP3	1337	1646	1311	690	206	532
DNAJC11	3481	4141	3970	2617	395	2683
CAMTA1	10885	12621	21690	9284	1747	14938
VAMP3	2265	3149	2496	4468	1660	2071
PER3	1436	1553	1193	3450	1315	2626
UTS2	0	5	0	0	0	0
TNFRSF9	0	5	2	0	2	0
PARK7	10188	12184	12172	10877	4361	7942
ERRFI1	2229	2585	3324	2089	680	1873
SLC45A1	1134	1267	1563	1526	232	1810
RERE	22865	30726	24638	10569	2716	11080
ENO1	23273	28053	24565	46098	20542	28328
ENO1-AS1	7	0	4	2	0	0
CA6	0	0	2	0	0	0
SLC2A7	0	0	23	0	0	0
SLC2A5	30	81	16	298	47	77
GPR157	3	0	4	11	1	13
MIR34A	0	0	0	6	0	1
H6PD	3868	4704	4173	1802	680	1063
SPSB1	386	384	742	657	165	360
SLC25A33	578	606	992	1149	991	774
TMEM201	1737	2149	1410	1420	428	1143
PIK3CD	2894	3617	2091	1074	461	1440
C1orf200	4	0	2	4	0	0
CLSTN1	30708	33395	36685	66785	7670	77336
CTNNBIP1	4762	5692	7455	3240	989	2640
LZIC	3169	4091	4894	988	382	865
NMNAT1	698	757	815	661	218	456
RBP7	2	12	6	213	12	76
UBE4B	9065	10246	9729	4668	717	4867
KIF1B	80964	101178	102765	28093	9607	37349
PGD	18430	19526	24869	4168	907	3220
APITD1-CORT	0	0	0	0	0	0
APITD1	157	190	188	144	53	89
CORT	188	224	290	115	33	175
DFFA	3095	3339	3000	847	386	983
PEX14	1620	1619	1580	2322	438	1673
CASZ1	1060	164	203	170	66	147
C1orf127	2	0	0	6	0	8
TARDBP	20485	25903	22402	8152	2344	7951
MASP2	899	926	1030	478	163	476
SRM	4743	12213	15150	2570	974	1779
EXOSC10	7319	10170	8275	3511	992	2417
MTOR	9720	11391	12471	5142	1281	6796
ANGPTL7	1	12	26	12	6	14
UBIAD1	2191	2547	2342	597	228	558
PTCHD2	22581	16834	8088	609	325	610
FBXO2	83	337	651	9952	4286	6004
FBXO44	6548	7362	8359	11143	2284	8730
FBXO6	761	637	662	415	230	423
MAD2L2	2967	3085	2647	719	349	463
C1orf187	7988	10715	13546	36	4	39
AGTRAP	164	205	111	279	311	107
MTHFR	4023	4931	4753	1818	505	2139
CLCN6	6529	8268	8318	5787	1023	5249
NPPA-AS1	34	24	15	8	5	12
NPPA	31	33	29	39	21	96
NPPB	4	0	2	5	2	1
