gene	logFC	P.Value	adj.P.Val
SOX11	9.98847632557464	2.95112690443068e-09	5.70469240386478e-05
TMSB15A	8.98364660457255	6.05948623961838e-09	5.70469240386478e-05
MEX3A	9.28599283418896	1.07705274765492e-08	5.70469240386478e-05
IGSF9	8.78160970187079	1.29684365728707e-08	5.70469240386478e-05
GPR139	8.29646022389855	1.36306327149593e-08	5.70469240386478e-05
HBG1	8.46310614247115	2.45962485471055e-08	8.57835161827884e-05
IGF2BP2	8.32513227536121	4.10118574182765e-08	0.000105510105172866
SLA	8.10310957433442	4.50907331758741e-08	0.000105510105172866
IGF2BP1	9.50718826946983	4.63913949871115e-08	0.000105510105172866
SOX4	7.52543873806822	5.04205797442733e-08	0.000105510105172866
ST8SIA2	9.14572165474452	6.15886685208679e-08	0.000117164043406153
MAL	-9.42097853280579	7.93690481095809e-08	0.000138406391728424
IGF2BP3	7.4384738404564	8.9028621418917e-08	0.000143308687062481
SULT1E1	7.896179060064	1.0632237358275e-07	0.000149560552595418
FAM111B	8.90277790961753	1.16001514447306e-07	0.000149560552595418
OPALIN	-9.37820329115661	1.22011055326615e-07	0.000149560552595418
MBP	-8.36553008687411	1.24691060756672e-07	0.000149560552595418
FBN3	7.39466863399953	1.28648090734853e-07	0.000149560552595418
LRRC3	6.74647335625075	1.47656416483854e-07	0.000162624114281112
C1orf187	9.07455143475265	1.94069440302553e-07	0.000200907047756016
DCX	8.64228742337295	2.09114485513076e-07	0.000200907047756016
DPEP1	7.28359095410444	2.11218343239623e-07	0.000200907047756016
HHATL	-6.73391314564936	2.35434744373722e-07	0.000205886927199998
GPC2	6.79223212598818	2.36131427544679e-07	0.000205886927199998
MOBP	-7.71483313122167	2.66642591329073e-07	0.000214250717033263
TOP2A	9.87620011285562	2.7052031858512e-07	0.000214250717033263
SCUBE1	7.0971788775904	2.76439327147955e-07	0.000214250717033263
HBG2	10.6130975542797	2.99741445852691e-07	0.000224013910568336
P2RX6P	-6.09486305777946	3.49317654517833e-07	0.000243604919395807
SLCO5A1	6.84607266483914	3.62414725800788e-07	0.000243604919395807
SRGAP1	6.2789866985357	3.63464387157907e-07	0.000243604919395807
NEUROG2	8.52693247076274	3.87553209025117e-07	0.000243604919395807
FLJ46300	-7.19142399642812	3.90291943711964e-07	0.000243604919395807
MKI67	9.32962550469487	3.95802698053017e-07	0.000243604919395807
TRIM67	7.21649195255475	4.22853061540412e-07	0.00025281780473699
MLLT4-AS1	7.05909268623487	4.35685980625823e-07	0.000253254578627111
TRIM54	-7.17190621915663	4.69885260291191e-07	0.000265751863698742
THBS1	6.07174874120329	5.22643807416656e-07	0.000287811692473709
S100A1	-7.89788812633344	5.68141805041788e-07	0.000294955210746234
CD24	7.81822779128061	5.77161398337639e-07	0.000294955210746234
CENPA	7.62554024515304	5.9637553105567e-07	0.000294955210746234
DPYSL3	6.13267681918795	6.08997072005466e-07	0.000294955210746234
FAT4	6.54967103558266	6.10543778655026e-07	0.000294955210746234
LEMD1	6.45993450250418	6.20186814146722e-07	0.000294955210746234
VASH2	7.26117765712477	6.51676628883954e-07	0.000296543033934767
NKX6-2	-8.63312143308305	6.51867512233551e-07	0.000296543033934767
LIPG	7.61119472894016	6.70653298500292e-07	0.000298597679242917
